Movie Title,Release Date,Wikipedia URL,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget,Revenue
Gangster Squad,2013-01-11,https://en.wikipedia.org/wiki/Gangster_Squad,Action,Ruben Fleischer,,Ryan Gosling,Emma Stone,Sean Penn,Josh Brolin,Robert Patrick,"7,50,00,000","$10,52,00,000.00"
Get Hard,2015-03-27,https://en.wikipedia.org/wiki/Get_Hard,Comedy,Etan Cohen,,Will Ferrell,Kevin Hart,Alison Brie,Craig T. Nelson,T.I.,"4,00,00,000","$11,18,00,000.00"
Get on Up,2014-08-01,https://en.wikipedia.org/wiki/Get_on_Up_(film),Drama,Tate Taylor,,Chadwick Boseman,Nelsan Ellis,Brandon Mychal Smith,Jill Scott,Tika Sumpter,"3,00,00,000","$3,34,00,000.00"
Getaway,2013-08-30,https://en.wikipedia.org/wiki/Getaway_(film),Action,Courtney Solomon,Yaron Levy,Ethan Hawke,Selena Gomez,Jon Voight,James Maslow,,"1,80,00,000","$1,18,00,000.00"
Ghost Rider: Spirit of Vengeance,2012-02-17,https://en.wikipedia.org/wiki/Ghost_Rider:_Spirit_of_Vengeance,Action,Mark Neveldine,Brian Taylor,Nicolas Cage,Idris Elba,Fergus Riordan,Ciarán Hinds,Violante Placido,"5,70,00,000","$13,26,00,000.00"
Ghostbusters,2016-07-15,https://en.wikipedia.org/wiki/Ghostbusters_(2016_film),Comedy,Paul Feig,,Melissa McCarthy,Kristen Wiig,Leslie Jones,Kate McKinnon,Chris Hemsworth,"14,40,00,000","$21,75,00,000.00"
God's Not Dead,2014-03-21,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_(film),Religious,Harold Cronk,,Willie Robertson,David A. R. White,Shane Harper,Kevin Sorbo,Korie Robertson,"20,00,000","$6,26,00,000.00"
God's Not Dead 2,2016-04-01,https://en.wikipedia.org/wiki/God%2527s_Not_Dead_2,Religious,Harold Cronk,,Melissa Joan Hart,David A. R. White,Ray Wise,Robin Givens,Ernie Hudson,"50,00,000","$2,35,00,000.00"
Gods of Egypt,2016-02-25,https://en.wikipedia.org/wiki/Gods_of_Egypt_(film),Action,Alex Proyas,,Geoffrey Rush,Gerard Butler,Brenton Thwaites,Courtney Eaton,Nikolaj Coster-Waldau,"14,00,00,000","$14,57,00,000.00"
Godzilla,2014-05-08,https://en.wikipedia.org/wiki/Godzilla_(2014_film),Action,Gareth Edwards,,Aaron Taylor-Johnson,Ken Watanabe,Elizabeth Olsen,Bryan Cranston,Juliette Binoche,"16,00,00,000","$52,90,00,000.00"
Gone Girl,2014-09-26,https://en.wikipedia.org/wiki/Gone_Girl_(film),Mystery,David Fincher,,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Kim Dickens,"6,10,00,000","$36,93,00,000.00"
Good Deeds,2012-02-24,https://en.wikipedia.org/wiki/Good_Deeds,Romance,Tyler Perry,,Tyler Perry,Thandie Newton,Rebecca Romijn,Brian J. White,Jamie Kennedy,"1,40,00,000","$3,56,00,000.00"
Goosebumps,2015-10-05,https://en.wikipedia.org/wiki/Goosebumps_(film),Action,Rob Letterman,,Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan,Ryan Lee,"8,40,00,000","$15,02,00,000.00"
Grown Ups 2,2013-07-12,https://en.wikipedia.org/wiki/Grown_Ups_2,Comedy,Dennis Dugan,,Adam Sandler,Kevin James,Chris Rock,David Spade,Taylor Lautner,"8,00,00,000","$24,70,00,000.00"
"Hail, Caesar!",2016-02-05,"https://en.wikipedia.org/wiki/Hail,_Caesar!",Comedy,Joel and Ethan Coen,,Josh Brolin,George Clooney,Alden Ehrenreich,Ralph Fiennes,Jonah Hill,"2,20,00,000","$2,20,00,000.00"
Hands of Stone,2016-08-26,https://en.wikipedia.org/wiki/Hands_of_Stone,Biography,Jonathan Jakubowicz,,Édgar Ramírez,Robert De Niro,Usher,Ellen Barkin,Ana de Armas,"2,00,00,000","$17,00,000.00"
Hansel and Gretel: Witch Hunters,2013-01-17,https://en.wikipedia.org/wiki/Hansel_and_Gretel:_Witch_Hunters,Action,Tommy Wirkola,,Jeremy Renner,Gemma Arterton,Zoe Bell,Famke Janssen,Peter Stormare,"5,00,00,000","$22,63,00,000.00"
Heaven Is for Real,2014-04-16,https://en.wikipedia.org/wiki/Heaven_Is_for_Real_(film),Religious,Randall Wallace,,Greg Kinnear,Kelly Reilly,Connor Corum,Thomas Haden Church,Jacob Vargas,"1,20,00,000","$10,13,00,000.00"
Here Comes the Boom,2012-10-12,https://en.wikipedia.org/wiki/Here_Comes_the_Boom,Comedy,Frank Coraci,,Kevin James,Salma Hayek,Henry Winkler,Joe Rogan,,"4,20,00,000","$7,31,00,000.00"
Hit and Run,2012-08-22,https://en.wikipedia.org/wiki/Hit_and_Run_(2012_film),Action,Dax Shepard,,Dax Shepard,Kristen Bell,Bradley Cooper,Tom Arnold,Kristin Chenoweth,"20,00,000","$1,45,00,000.00"
Hitman: Agent 47,2015-08-21,https://en.wikipedia.org/wiki/Hitman:_Agent_47,Action,Aleksander Bach,,Rupert Friend,Zachary Quinto,Hannah Ware,Thomas Kretschmann,,"3,50,00,000","$8,23,00,000.00"
Home,2015-03-07,https://en.wikipedia.org/wiki/Home_(2015_animated_film),Animation,Tim Johnson,,Jim Parsons,Rihanna,Jennifer Lopez,Steve Martin,Matt Jones,"13,50,00,000","$38,60,00,000.00"
Hope Springs,2012-08-08,https://en.wikipedia.org/wiki/Hope_Springs_(2012_film),Romance,David Frankel,,Meryl Streep,Tommy Lee Jones,Steve Carell,Mimi Rogers,Elisabeth Shue,"3,00,00,000","$11,43,00,000.00"
Horrible Bosses 2,2014-11-26,https://en.wikipedia.org/wiki/Horrible_Bosses_2,Comedy,Sean Anders,,Jason Bateman,Charlie Day,Jason Sudeikis,Kevin Spacey,Jennifer Aniston,"5,70,00,000","$10,77,00,000.00"
Hot Pursuit,2015-05-08,https://en.wikipedia.org/wiki/Hot_Pursuit_(2015_film),Action,Anne Fletcher,,Reese Witherspoon,Sofía Vergara,Jim Gaffigan,John Carroll Lynch,,"3,50,00,000","$5,17,00,000.00"
Hotel Transylvania,2012-09-28,https://en.wikipedia.org/wiki/Hotel_Transylvania,Fantasy,Genndy Tartakovsky,,Adam Sandler,Selena Gomez,Andy Samberg,Kevin James,Fran Drescher,"8,50,00,000","$35,84,00,000.00"
Hotel Transylvania 2,2015-09-25,https://en.wikipedia.org/wiki/Hotel_Transylvania_2,Fantasy,Genndy Tartakovsky,,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,Steve Buscemi,"8,00,00,000","$47,30,00,000.00"
How to Train Your Dragon 2,2014-05-16,https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_2,Family,Dean DeBlois,,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,"14,50,00,000","$62,15,00,000.00"
I,2015-01-14,https://en.wikipedia.org/wiki/I_(film),Romance,S. Shankar,,Vikram,Amy Jackson,N. Santhanam,Suresh Gopi,Upen Patel,"1,50,00,000","$6,50,00,000.00"
I Saw the Light,2015-09-11,https://en.wikipedia.org/wiki/I_Saw_the_Light_(film),Drama,Marc Abraham,Tom Hiddleston,Elizabeth Olsen,,,,,"1,30,00,000","$26,00,000.00"
Ice Age: Collision Course,2016-07-22,https://en.wikipedia.org/wiki/Ice_Age:_Collision_Course,Adventure,Mike Thurmeier,Galen T. Chu,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Jennifer Lopez,"10,50,00,000","$36,83,00,000.00"
Ice Age: Continental Drift,2012-07-13,https://en.wikipedia.org/wiki/Ice_Age:_Continental_Drift,Adventure,Steve Martino,Mike Thurmeier,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Seann William Scott,"9,50,00,000","$87,70,00,000.00"
Identity Thief,2013-02-08,https://en.wikipedia.org/wiki/Identity_Thief,Action,Seth Gordon,,Jason Bateman,Melissa McCarthy,Amanda Peet,John Cho,Clark Duke,"3,50,00,000","$17,40,00,000.00"
If I Stay,2014-08-18,https://en.wikipedia.org/wiki/If_I_Stay_(film),Drama,R. J. Cutler,,Chloë Grace Moretz,Mireille Enos,Lauren Lee Smith,Liana Liberato,Jamie Blackley,"1,10,00,000","$7,89,00,000.00"
In the Heart of the Sea,2015-12-11,https://en.wikipedia.org/wiki/In_the_Heart_of_the_Sea_(film),Biography,Ron Howard,,Chris Hemsworth,Benjamin Walker,Cillian Murphy,Tom Holland,Ben Whishaw,"10,00,00,000","$9,39,00,000.00"
Independence Day: Resurgence,2016-06-20,https://en.wikipedia.org/wiki/Independence_Day:_Resurgence,Action,Roland Emmerich,,Jeff Goldblum,Bill Pullman,Sela Ward,Liam Hemsworth,Vivica A. Fox,"16,50,00,000","$38,23,00,000.00"
Insidious: Chapter 2,2013-09-13,https://en.wikipedia.org/wiki/Insidious:_Chapter_2,Horror,James Wan,,Patrick Wilson,Rose Byrne,Lin Shaye,Ty Simpkins,,"50,00,000","$16,19,00,000.00"
Insidious: Chapter 3,2015-06-05,https://en.wikipedia.org/wiki/Insidious:_Chapter_3,Horror,Leigh Whannell,,Dermot Mulroney,Stefanie Scott,Angus Sampson,Leigh Whannell,Lin Shaye,"1,10,00,000","$11,30,00,000.00"
Interstellar,2014-10-26,https://en.wikipedia.org/wiki/Interstellar_(film),Sci-Fi,Christopher Nolan,,Matthew McConaughey,Anne Hathaway,Michael Caine,Jessica Chastain,Matt Damon,"16,50,00,000","$67,51,00,000.00"
Into the Storm,2014-08-08,https://en.wikipedia.org/wiki/Into_the_Storm_(2014_film),Adventure,Steven Quale,,Richard Armitage,Jeremy Sumpter,Sarah Wayne Callies,Nathan Kress,,"5,00,00,000","$16,17,00,000.00"
Iron Sky,2012-07-25,https://en.wikipedia.org/wiki/Iron_Sky,Comedy,Timo Vuorensola,,Julia Dietze,Peta Sergeant,Gotz Otto,Chris Kirby,Udo Kier,"75,00,000","$81,00,000.00"
Irrational Man,2015-05-16,https://en.wikipedia.org/wiki/Irrational_Man_(film),Mystery,Woody Allen,,Joaquin Phoenix,Emma Stone,Parker Posey,Jamie Blackley,,"1,10,00,000","$2,74,00,000.00"
Jack Reacher,2012-12-21,https://en.wikipedia.org/wiki/Jack_Reacher_(film),Action,Christopher McQuarrie,,Tom Cruise,Rosamund Pike,David Oyelowo,Richard Jenkins,Alexia Fast,"6,00,00,000","$21,83,00,000.00"
Jack Ryan: Shadow Recruit,2014-01-15,https://en.wikipedia.org/wiki/Jack_Ryan:_Shadow_Recruit,Action,Kenneth Branagh,,David Koepp,Adam Cozad,Anthony Peckham,Steve Zaillian,Chris Pine,"6,00,00,000","$13,55,00,000.00"
Jane Got a Gun,2016-01-29,https://en.wikipedia.org/wiki/Jane_Got_a_Gun,Action,Gavin O'Connor,,Natalie Portman,Joel Edgerton,Ewan McGregor,Rodrigo Santoro,Noah Emmerich,"2,50,00,000","$30,00,000.00"
Jason Bourne,2016-07-29,https://en.wikipedia.org/wiki/Jason_Bourne_(film),Action,Paul Greengrass,,Matt Damon,Julia Stiles,Alicia Vikander,Riz Ahmed,Vincent Cassel,"12,00,00,000","$34,79,00,000.00"
"Jeff, Who Lives at Home",2012-03-16,"https://en.wikipedia.org/wiki/Jeff,_Who_Lives_at_Home",Comedy,Jay Duplass,,Jason Segel,Ed Helms,Judy Greer,Susan Sarandon,Evan Ross,"75,00,000","$75,00,000.00"
Jem and the Holograms,2015-10-23,https://en.wikipedia.org/wiki/Jem_and_the_Holograms_(film),Musical,Jon M. Chu,,Aubrey Peeples,Stefanie Scott,Hayley Kiyoko,Aurora Perrineau,Ryan Guzman,"50,00,000","$23,00,000.00"
Jersey Boys,2014-06-05,https://en.wikipedia.org/wiki/Jersey_Boys_(film),Drama,Clint Eastwood,,John Lloyd Young,Erec Bergen,Vincent Piazza,Michael Lamenda,Christopher Walken,"5,86,00,000","$6,77,00,000.00"
Jobs,2013-08-16,https://en.wikipedia.org/wiki/Jobs_(film),Biography,Joshua Michael Stern,,Ashton Kutcher,Dermot Mulroney,Josh Gad,Lukas Haas,J.K. Simmons,"1,20,00,000","$3,59,00,000.00"
John Wick,2014-10-13,https://en.wikipedia.org/wiki/John_Wick_(film),Action,Chad Stahelski,David Leitch (director,Keanu Reeves,Bridget Moynahan,Willem Dafoe,,,"2,00,00,000","$8,60,00,000.00"
Journey 2: The Mysterious Island,2012-02-10,https://en.wikipedia.org/wiki/Journey_2:_The_Mysterious_Island,Adventure,Brad Peyton,,Dwayne Johnson,Michael Caine,Josh Hutcherson,Vanessa Hudgens,Luis Guzmán,"7,90,00,000","$33,53,00,000.00"
Joy,2015-12-25,https://en.wikipedia.org/wiki/Joy_(film),Comedy,David O. Russell,,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Édgar Ramírez,,"6,00,00,000","$10,11,00,000.00"
Keanu,2016-04-29,https://en.wikipedia.org/wiki/Keanu_(film),Comedy,Peter Atencio,,Keegan-Michael Key,Jordan Peele,Method Man,Gabrielle Union,Will Forte,"1,50,00,000","$2,07,00,000.00"
Kill the Messenger,2014-10-10,https://en.wikipedia.org/wiki/Kill_the_Messenger_(2014_film),Crime,Michael Cuesta,,Jeremy Renner,Barry Pepper,Mary Elizabeth Winstead,Rosemarie DeWitt,Ray Liotta,"50,00,000","$25,00,000.00"
Killing Them Softly,2012-11-30,https://en.wikipedia.org/wiki/Killing_Them_Softly,Crime,Andrew Dominik,,Brad Pitt,Vincent Curatola,Scoot McNairy,Ben Mendelsohn,Ray Liotta,"1,50,00,000","$3,79,00,000.00"
Kingsman: The Secret Service,2014-12-13,https://en.wikipedia.org/wiki/Kingsman:_The_Secret_Service,Action,Matthew Vaughn,,Colin Firth,Taron Egerton,Samuel L. Jackson,Mark Strong,Michael Caine,"9,40,00,000","$41,44,00,000.00"
Krampus,2015-12-04,https://en.wikipedia.org/wiki/Krampus_(film),Horror,Michael Dougherty,,Emjay Anthony,Allison Tolman,Adam Scott,,,"1,50,00,000","$6,15,00,000.00"
Kubo and the Two Strings,2016-08-19,https://en.wikipedia.org/wiki/Kubo_and_the_Two_Strings,Fantasy,Travis Knight,,Art Parkinson,Matthew McConaughey,Rooney Mara,Charlize Theron,Ralph Fiennes,"6,00,00,000","$2,76,00,000.00"
Kung Fu Panda 3,2016-01-23,https://en.wikipedia.org/wiki/Kung_Fu_Panda_3,Action,Jennifer Yuh Nelson,Alessandro Carloni,Jack Black,Angelina Jolie,Dustin Hoffman,Jackie Chan,Seth Rogen,"14,50,00,000","$51,99,00,000.00"
Lazer Team,2016-01-27,https://en.wikipedia.org/wiki/Lazer_Team,Sci-Fi,Matt Hullum,,Burnie Burns,Gavin Free,Michael Jones,Colton Dunn,Allie DeBerry,"24,00,000","$16,00,000.00"
Left Behind,2014-10-03,https://en.wikipedia.org/wiki/Left_Behind_(2014_film),Religious,Vic Armstrong,,Nicolas Cage,Chad Michael Murray,Cassi Thomson,Nicky Whelan,Jordin Sparks,"1,60,00,000","$2,76,00,000.00"
Les Misérables,2012-12-25,https://en.wikipedia.org/wiki/Les_Mis%25C3%25A9rables_(2012_film),Musical,Tom Hooper,,Hugh Jackman,Russell Crowe,Eddie Redmayne,Colm Wilkinson,Anne Hathaway,"6,10,00,000","$44,18,00,000.00"
Let's Be Cops,2014-08-13,https://en.wikipedia.org/wiki/Let%2527s_Be_Cops,Action,Luke Greenfield,,Jake Johnson,Damon Wayans,Jr.,,,"1,70,00,000","$13,82,00,000.00"
Life of Pi,2012-11-21,https://en.wikipedia.org/wiki/Life_of_Pi_(film),Drama,Ang Lee,,Suraj Sharma,Ayush Tandon,Irrfan Khan,Gérard Depardieu,,"12,00,00,000","$60,90,00,000.00"
Lights Out,2016-07-22,https://en.wikipedia.org/wiki/Lights_Out_(2016_film),Horror,David F. Sandberg,,Teresa Palmer,Gabriel Bateman,Alexander DiPersia,,,"49,00,000","$12,59,00,000.00"
Lincoln,2012-11-09,https://en.wikipedia.org/wiki/Lincoln_(2012_film),Drama,Steven Spielberg,,Daniel Day-Lewis,David Strathairn,Hal Holbrook,Sally Field,Joseph Gordon-Levitt,"6,50,00,000","$27,53,00,000.00"
Little Boy,2015-04-24,https://en.wikipedia.org/wiki/Little_Boy_(film),Drama,Alejandro Gómez Monteverde,,Jakob Salvati,David Henrie,Kevin James,Emily Watson,Ted Levine,"2,00,00,000","$1,75,00,000.00"
Lockout,2012-04-13,https://en.wikipedia.org/wiki/Lockout_(film),Action,James Mather,Stephen St.Leger,Guy Pearce,Maggie Grace,Peter Stormare,Lennie James,Vincent Regan,"2,00,00,000","$3,22,00,000.00"
London Has Fallen,2016-03-04,https://en.wikipedia.org/wiki/London_Has_Fallen,Action,Babak Najafi,,Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett,Alon Aboutboul,"6,00,00,000","$19,57,00,000.00"
Looper,2012-09-28,https://en.wikipedia.org/wiki/Looper_(film),Action,Rian Johnson,,Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,Paul Dano,Noah Segan,"3,00,00,000","$17,65,00,000.00"
Love the Coopers,2015-11-04,https://en.wikipedia.org/wiki/Love_the_Coopers,Romance,Jessie Nelson,,John Goodman,Diane Keaton,Amanda Seyfried,Alan Arkin,Olivia Wilde,"2,40,00,000","$4,11,00,000.00"
Lucy,2014-07-25,https://en.wikipedia.org/wiki/Lucy_(2014_film),Sci-Fi,Luc Besson,,Scarlett Johansson,Morgan Freeman,Choi Min-sik,,,"4,00,00,000","$46,34,00,000.00"
Mad Max: Fury Road,2015-05-07,https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road,Action,George Miller,,Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Rosie Huntington-Whiteley,"15,00,00,000","$37,84,00,000.00"
Madagascar 3: Europe's Most Wanted,2012-06-08,https://en.wikipedia.org/wiki/Madagascar_3:_Europe%2527s_Most_Wanted,Comedy,Eric Darnell,,Noah Baumbach(screenplay); Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen,"14,50,00,000","$74,69,00,000.00"
Magic in the Moonlight,2014-07-25,https://en.wikipedia.org/wiki/Magic_in_the_Moonlight,Comedy,Woody Allen,,Emma Stone,Colin Firth,Hamish Linklater,Marcia Gay Harden,Jacki Weaver,"1,68,00,000","$5,10,00,000.00"
Mama,2013-01-18,https://en.wikipedia.org/wiki/Mama_(2013_film),Horror,Andres Muschietti,,Jessica Chastain,Nikolaj Coster-Waldau,Daniel Kash,David Fox,,"1,50,00,000","$14,64,00,000.00"
Man of Steel,2013-06-14,https://en.wikipedia.org/wiki/Man_of_Steel_(film),Action,Zack Snyder,,Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane,"22,50,00,000","$66,80,00,000.00"
Man on a Ledge,2012-01-27,https://en.wikipedia.org/wiki/Man_on_a_Ledge,Action,Asger Leth,,Sam Worthington,Ed Harris,Elizabeth Banks,Jamie Bell,Kyra Sedgwick,"4,20,00,000","$4,62,00,000.00"
Max,2015-06-26,https://en.wikipedia.org/wiki/Max_(2015_film),Adventure,Boaz Yakin,,Josh Wiggins,Thomas Haden Church,Lauren Graham,,,"2,00,00,000","$4,40,00,000.00"
Maze Runner: The Scorch Trials,2015-09-18,https://en.wikipedia.org/wiki/Maze_Runner:_The_Scorch_Trials,Sci-Fi,Wes Ball,,Dylan O'Brien,Ki Hong Lee,Thomas Sangster,Kaya Scodelario,Patricia Clarkson,"6,10,00,000","$31,23,00,000.00"
Me and Earl and the Dying Girl,2015-01-25,https://en.wikipedia.org/wiki/Me_and_Earl_and_the_Dying_Girl_(film),Comedy,Alfonso Gomez-Rejon,,Thomas Mann,Olivia Cooke,Ronald Cyler II,Jon Bernthal,Nick Offerman,"80,00,000","$91,00,000.00"
Me Before You,2016-06-03,https://en.wikipedia.org/wiki/Me_Before_You_(film),Drama,Thea Sharrock,,Emilia Clarke,Sam Claflin,Charles Dance,Jenna Coleman,Janet McTeer,"2,00,00,000","$19,62,00,000.00"
Mechanic: Resurrection,2016-08-26,https://en.wikipedia.org/wiki/Mechanic:_Resurrection,Action,Dennis Gansel,,Jason Statham,Jessica Alba,Tommy Lee Jones,Michelle Yeoh,,"4,00,00,000","$75,00,000.00"
Men in Black 3,2012-05-25,https://en.wikipedia.org/wiki/Men_in_Black_3,Comedy,Barry Sonnenfeld,,Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,Emma Thompson,"21,50,00,000","$62,40,00,000.00"
Midnight Special,2016-02-12,https://en.wikipedia.org/wiki/Midnight_Special_(film),Sci-Fi,Jeff Nichols,,Michael Shannon,Kirsten Dunst,Adam Driver,Joel Edgerton,Sam Shepard,"1,80,00,000","$62,00,000.00"
Miracles from Heaven,2016-03-16,https://en.wikipedia.org/wiki/Miracles_from_Heaven_(film),Drama,Patricia Riggen,,Jennifer Garner,Martin Henderson,Queen Latifah,,,"1,30,00,000","$7,36,00,000.00"
Mirror Mirror,2012-03-30,https://en.wikipedia.org/wiki/Mirror_Mirror_(film),Fantasy,Tarsem Singh,,Lily Collins,Julia Roberts,Armie Hammer,Nathan Lane,Robert Emms,"8,50,00,000","$18,30,00,000.00"
Mission: Impossible – Rogue Nation,2015-07-23,https://en.wikipedia.org/wiki/Mission:_Impossible_%25E2%2580%2593_Rogue_Nation,Action,Christopher McQuarrie,,Tom Cruise,Jeremy Renner,Simon Pegg,Ving Rhames,Rebecca Ferguson,"15,00,00,000","$68,23,00,000.00"
Moms' Night Out,2014-05-09,https://en.wikipedia.org/wiki/Moms%2527_Night_Out,Religious,Andrew Erwin and Jon Erwin,,Sarah Drew,Trace Adkins,Sean Astin,Patricia Heaton,,"50,00,000","$1,05,00,000.00"
Money Monster,2016-05-13,https://en.wikipedia.org/wiki/Money_Monster,Drama,Jodie Foster,,George Clooney,Julia Roberts,Jack O'Connell,Dominic West,Caitriona Balfe,"2,70,00,000","$9,31,00,000.00"
Monster Hunt,2016-01-22,https://en.wikipedia.org/wiki/Monster_Hunt,Action,Raman Hui,,Bai Baihe,Jing Boran,Jiang Wu,Elaine Jin,,"5,60,00,000","$38,52,00,000.00"
Moonrise Kingdom ₪,2012-05-25,https://en.wikipedia.org/wiki/Moonrise_Kingdom,Comedy,Wes Anderson,,Jared Gilman,Kara Hayward,Bruce Willis,Edward Norton,Bill Murray,"1,60,00,000","$6,83,00,000.00"
Mortdecai,2015-01-23,https://en.wikipedia.org/wiki/Mortdecai_(film),Action,David Koepp,,Johnny Depp,Ewan McGregor,Olivia Munn,Aubrey Plaza,Oliver Platt,"6,00,00,000","$4,70,00,000.00"
Mother's Day,2016-04-13,https://en.wikipedia.org/wiki/Mother%2527s_Day_(2016_film),Comedy,Garry Marshall,,Jennifer Aniston,Julia Roberts,Kate Hudson,Timothy Olyphant,Jason Sudeikis,"2,50,00,000","$4,38,00,000.00"
Mr. Peabody & Sherman,2014-02-07,https://en.wikipedia.org/wiki/Mr._Peabody_%2526_Sherman,Family,Rob Minkoff,,Ty Burrell,Max Charles,Stephen Colbert,Allison Janney,Ariel Winter,"14,50,00,000","$27,57,00,000.00"
Mud,2013-04-26,https://en.wikipedia.org/wiki/Mud_(2012_film),Drama,Jeff Nichols,,Matthew McConaughey,Reese Witherspoon,Michael Shannon,Sarah Paulson,Sam Shepard,"1,00,00,000","$3,26,00,000.00"
Mustang,2015-05-19,https://en.wikipedia.org/wiki/Mustang_(film),Drama,Deniz Gamze Ergüven,,Güneş Şensoy,,,,,"13,00,000","$49,00,000.00"
My All American,2015-11-13,https://en.wikipedia.org/wiki/My_All_American,Biography,Angelo Pizzo,,Aaron Eckhart,Finn Wittrock,Robin Tunney,Sarah Bolger,Michael Reilly Burke,"2,00,00,000","$22,00,000.00"
My Big Fat Greek Wedding 2,2016-03-25,https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2,Romance,Kirk Jones,,Nia Vardalos,John Corbett,Ian Gomez,Elena Kampouris,,"1,80,00,000","$8,89,00,000.00"
Need for Speed,2014-03-12,https://en.wikipedia.org/wiki/Need_for_Speed_(film),Action,Scott Waugh,,Aaron Paul,Imogen Poots,Dominic Cooper,Michael Keaton,Ramón Rodríguez,"6,50,00,000","$20,33,00,000.00"
Neighbors,2014-03-08,https://en.wikipedia.org/wiki/Neighbors_(2014_film),Comedy,Nicholas Stoller,,Seth Rogen,Zac Efron,Rose Byrne,Christopher Mintz-Plasse,Dave Franco,"1,80,00,000","$27,07,00,000.00"
Neighbors 2: Sorority Rising,2016-05-20,https://en.wikipedia.org/wiki/Neighbors_2:_Sorority_Rising,Comedy,Nicholas Stoller,,Seth Rogen,Zac Efron,Rose Byrne,Chloë Grace Moretz,Dave Franco,"3,50,00,000","$10,79,00,000.00"
Nerve,2016-07-27,https://en.wikipedia.org/wiki/Nerve_(2016_film),Thriller,Henry Joost,Ariel Schulman,Dave Franco,Emma Roberts,Emily Meade,Kimiko Glenn,Juliette Lewis,"2,00,00,000","$4,76,00,000.00"
Night at the Museum: Secret of the Tomb,2014-12-11,https://en.wikipedia.org/wiki/Night_at_the_Museum:_Secret_of_the_Tomb,Comedy,Shawn Levy,,Ben Stiller,Robin Williams,Dan Stevens,Owen Wilson,Ricky Gervais,"12,70,00,000","$36,32,00,000.00"
Nightcrawler,2014-09-05,https://en.wikipedia.org/wiki/Nightcrawler_(film),Drama,Dan Gilroy,,Jake Gyllenhaal,Bill Paxton,Rene Russo,Riz Ahmed,,"85,00,000","$5,03,00,000.00"
Nine Lives,2016-08-05,https://en.wikipedia.org/wiki/Nine_Lives_(2016_film),Comedy,Barry Sonnenfeld,,Kevin Spacey,Robbie Amell,Jennifer Garner,Christopher Walken,Malina Weissman,"3,00,00,000","$1,91,00,000.00"
No Escape,2015-08-17,https://en.wikipedia.org/wiki/No_Escape_(2015_film),Action,John Erick Dowdle,,Owen Wilson,Pierce Brosnan,Lake Bell,,,"50,00,000","$5,44,00,000.00"
No Good Deed,2014-09-12,https://en.wikipedia.org/wiki/No_Good_Deed_(2014_film),Crime,Sam Miller,,Idris Elba,Taraji P. Henson,Henry Simmons,,,"1,32,00,000","$5,43,00,000.00"
No One Lives,2013-05-10,https://en.wikipedia.org/wiki/No_One_Lives,Horror,Ryuhei Kitamura,,Luke Evans,Adelaide Clemens,America Olivo,Derek Magyar,Lindsey Shaw,"29,00,000","$10,00,000.00"
Noah,2014-03-10,https://en.wikipedia.org/wiki/Noah_(2014_film),Adventure,Darren Aronofsky,,Russell Crowe,Jennifer Connelly,Logan Lerman,Emma Watson,Ray Winstone,"12,50,00,000","$36,26,00,000.00"
Non-Stop,2014-01-27,https://en.wikipedia.org/wiki/Non-Stop_(film),Thriller,Jaume Collet-Serra,,Liam Neeson,Julianne Moore,Lupita Nyong'o,Nate Parker,Michelle Dockery,"5,00,00,000","$22,28,00,000.00"
Now You See Me,2013-05-31,https://en.wikipedia.org/wiki/Now_You_See_Me_(film),Crime,Louis Leterrier,,Jesse Eisenberg,Isla Fisher,Morgan Freeman,Woody Harrelson,Mark Ruffalo,"7,50,00,000","$35,17,00,000.00"
Now You See Me 2,2016-06-06,https://en.wikipedia.org/wiki/Now_You_See_Me_2,Thriller,Jon M. Chu,,Mark Ruffalo,Jesse Eisenberg,Woody Harrelson,Dave Franco,Lizzy Caplan,"9,00,00,000","$32,09,00,000.00"
Oblivion,2013-04-10,https://en.wikipedia.org/wiki/Oblivion_(2013_film),Action,Joseph Kosinski,,Tom Cruise,Olga Kurylenko,Andrea Riseborough,Morgan Freeman,Nikolaj Coster-Waldau,"12,00,00,000","$28,62,00,000.00"
